job_id,word_normalized,feature_id,feature_text,final_feature_value,resolution_method,needs_human_audit,adjudicated,adjudication_trigger,confidence,ambiguous,pre_verification_feature_value,verified_feature_value,positive_verification_status,positive_verification_confidence,positive_verification_reason
v4_atomic_shard_0016,truck,3,a banjo can be adjusted for sound quality by changing the tension on the head,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,shark,1,a bagpipe is a wind instrument with a bag filled with air,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,spider,1,a bagpipe is a wind instrument with a bag filled with air,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,pants,4,a banjo can be adjusted for volume and tone using hardware,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,whisk,1,a bagpipe is a wind instrument with a bag filled with air,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,spider,5,a banjo can be amplified using a pickup for larger venues,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,tractor,1,a bagpipe is a wind instrument with a bag filled with air,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,shield,5,a banjo can be amplified using a pickup for larger venues,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,knife,4,a banjo can be adjusted for volume and tone using hardware,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,jeans,4,a banjo can be adjusted for volume and tone using hardware,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,boat,3,a banjo can be adjusted for sound quality by changing the tension on the head,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,tractor,4,a banjo can be adjusted for volume and tone using hardware,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,helicopter,1,a bagpipe is a wind instrument with a bag filled with air,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,kick scooter,5,a banjo can be amplified using a pickup for larger venues,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,bowl,4,a banjo can be adjusted for volume and tone using hardware,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,tiger,4,a banjo can be adjusted for volume and tone using hardware,0.0,unanimous,False,False,,,,,,not_candidate,,
v4_atomic_shard_0016,mug,1,a bagpipe is a wind instrument with a bag filled with air,0.0,unanimous,False,False,,,,,,not_candidate,,
