prompt_variant,word_normalized,feature_text_normalized,feature_text_example,response_frequency,valid_response_count,response_proportion
A,(hot air) balloon,can be decorated with patterns,Can be decorated with patterns,2,20,0.1
A,(hot air) balloon,can be tethered for ground-based activities,Can be tethered for ground-based activities,1,20,0.05
A,(hot air) balloon,can be used for advertising,Can be used for advertising,1,20,0.05
A,(hot air) balloon,can be very large in size,can be very large in size,1,20,0.05
A,(hot air) balloon,can carry multiple passengers,can carry multiple passengers,1,20,0.05
A,(hot air) balloon,can carry passengers,can carry passengers,2,20,0.1
A,(hot air) balloon,can carry passengers in a basket,can carry passengers in a basket,4,20,0.2
A,(hot air) balloon,can fly at various altitudes,can fly at various altitudes,1,20,0.05
A,(hot air) balloon,"can only ascend or descend, not move horizontally on its own","can only ascend or descend, not move horizontally on its own",1,20,0.05
A,(hot air) balloon,can reach high altitudes,Can reach high altitudes,2,20,0.1
A,(hot air) balloon,can stay airborne for several hours,can stay airborne for several hours,1,20,0.05
A,(hot air) balloon,can stay aloft for several hours,can stay aloft for several hours,1,20,0.05
A,(hot air) balloon,can travel long distances,can travel long distances,2,20,0.1
A,(hot air) balloon,can travel long distances depending on wind,Can travel long distances depending on wind,2,20,0.1
A,(hot air) balloon,can travel long distances depending on wind currents,can travel long distances depending on wind currents,1,20,0.05
A,(hot air) balloon,can travel long distances depending on wind direction,can travel long distances depending on wind direction,1,20,0.05
A,(hot air) balloon,can travel long distances with wind,can travel long distances with wind,1,20,0.05
A,(hot air) balloon,can vary in size and shape,can vary in size and shape,1,20,0.05
A,(hot air) balloon,carries passengers in a basket,Carries passengers in a basket,1,20,0.05
A,(hot air) balloon,carries passengers in a basket or gondola,Carries passengers in a basket or gondola,1,20,0.05
A,(hot air) balloon,controlled by a burner to heat the air,Controlled by a burner to heat the air,1,20,0.05
A,(hot air) balloon,controlled by a pilot using burners,Controlled by a pilot using burners,1,20,0.05
A,(hot air) balloon,controlled by adjusting heat,Controlled by adjusting heat,1,20,0.05
A,(hot air) balloon,controlled by adjusting heat and altitude,controlled by adjusting heat and altitude,1,20,0.05
A,(hot air) balloon,controlled primarily by altitude changes,Controlled primarily by altitude changes,1,20,0.05
A,(hot air) balloon,controlled with a burner,controlled with a burner,2,20,0.1
A,(hot air) balloon,decorative and colorful designs,Decorative and colorful designs,1,20,0.05
A,(hot air) balloon,dependent on weather conditions for safe operation,Dependent on weather conditions for safe operation,2,20,0.1
A,(hot air) balloon,descends by releasing hot air,Descends by releasing hot air,1,20,0.05
A,(hot air) balloon,descends by releasing hot air or cooling,descends by releasing hot air or cooling,1,20,0.05
A,(hot air) balloon,flies at low to medium altitudes,Flies at low to medium altitudes,1,20,0.05
A,(hot air) balloon,flies at low to moderate altitudes,flies at low to moderate altitudes,3,20,0.15
A,(hot air) balloon,flies at various altitudes,flies at various altitudes,1,20,0.05
A,(hot air) balloon,flies by controlling temperature,Flies by controlling temperature,1,20,0.05
A,(hot air) balloon,flies using rising hot air,Flies using rising hot air,1,20,0.05
A,(hot air) balloon,floats in the air,floats in the air,1,20,0.05
A,(hot air) balloon,floats in the air using heated air,floats in the air using heated air,2,20,0.1
A,(hot air) balloon,floats in the sky,floats in the sky,1,20,0.05
A,(hot air) balloon,has a basket for passengers and equipment,has a basket for passengers and equipment,1,20,0.05
A,(hot air) balloon,has a basket or gondola to carry passengers and equipment,has a basket or gondola to carry passengers and equipment,1,20,0.05
A,(hot air) balloon,has a history dating back to the 18th century,has a history dating back to the 18th century,2,20,0.1
A,(hot air) balloon,has a limited flight duration,has a limited flight duration,1,20,0.05
A,(hot air) balloon,has a long history dating back to the 18th century,has a long history dating back to the 18th century,1,20,0.05
