job_id,word_original,word_normalized,row_hash,feature_id,feature_text,judge_id,judge_prompt_variant,judge_model,feature_value,confidence,ambiguous,reason,raw_json,parse_error,prompt_hash
v4_atomic_shard_0000,pants,pants,b49e7fff4cfda7c4d1c49cc855b6bd49c1c7593226044baab3a6b4f116c991ff,60,used in construction,A,A,Qwen2.5-72B-Instruct,0,0.95,False,Pants are not typically associated with construction in spontaneous descriptions.,,,d2201b353e8410eb17d770519fa89eaa230968dc3d33f3e398bf8576fe83afb9
v4_atomic_shard_0000,pants,pants,b49e7fff4cfda7c4d1c49cc855b6bd49c1c7593226044baab3a6b4f116c991ff,60,used in construction,B,B,Qwen2.5-72B-Instruct,0,1,False,"Pants are not typically associated with construction, and this feature is unlikely to be spontaneously listed.",,,79cde2c744304349606719e974425e965bd6de270ee2b3ef401a405a2e87f70f
v4_atomic_shard_0000,pants,pants,b49e7fff4cfda7c4d1c49cc855b6bd49c1c7593226044baab3a6b4f116c991ff,60,used in construction,C,C,Qwen2.5-72B-Instruct,0,0.95,False,Pants are not typically associated with construction; this feature is not spontaneously listed.,,,c1a8a35612de2e79bf2039a0afa124a23da7be81f5a14d8621b5d00fec4c62d8
v4_atomic_shard_0000,frog,frog,8fbec2c249fddf95c78195864e768600dfb997f2b5261aad52692f763032e5b3,74,can fly short distances,A,A,Qwen2.5-72B-Instruct,0,0.95,False,"Frogs are not known for flying, so this feature would not be spontaneously produced.",,,dc9d140e50a8399ecb05b4aee7cdebdca47bfd1ea4958d431717f235b2200ea6
v4_atomic_shard_0000,frog,frog,8fbec2c249fddf95c78195864e768600dfb997f2b5261aad52692f763032e5b3,74,can fly short distances,B,B,Qwen2.5-72B-Instruct,0,1,False,"Frogs cannot fly, and this feature is false.",,,404c9322471381425835990724907f1adb2c3202c86720e71389ce7caa7a69e6
v4_atomic_shard_0000,frog,frog,8fbec2c249fddf95c78195864e768600dfb997f2b5261aad52692f763032e5b3,74,can fly short distances,C,C,Qwen2.5-72B-Instruct,0,0.95,False,"Frogs do not typically fly, and this feature would not be spontaneously listed by most people.",,,c71033d37654242e8d8092e265b66fbc2dc48e19dfd95e4ecc19768a47695916
v4_atomic_shard_0000,turtle,turtle,0eee11392ad730de6ccd86d6e0d6f40b5e16cd05cd2afc2d8a0fe378480343e5,51,brakes,A,A,Qwen2.5-72B-Instruct,0,1,False,"Turtles do not have brakes, and this feature is not something people would spontaneously mention about turtles.",,,dc16ee2fcc70dda8da21766149aef401e8a8c4e4de1e1d26e943719eca9946b4
v4_atomic_shard_0000,turtle,turtle,0eee11392ad730de6ccd86d6e0d6f40b5e16cd05cd2afc2d8a0fe378480343e5,51,brakes,B,B,Qwen2.5-72B-Instruct,0,1,False,"Turtles do not have brakes, and this feature is not relevant or likely to be spontaneously listed.",,,d9bdebb38ec06c562154fe5aa5ef7f8e4a8ffc1c064aaef3d6317ce879d9330c
v4_atomic_shard_0000,turtle,turtle,0eee11392ad730de6ccd86d6e0d6f40b5e16cd05cd2afc2d8a0fe378480343e5,51,brakes,C,C,Qwen2.5-72B-Instruct,0,0.95,False,"Turtles do not have brakes, and this feature is not naturally associated with turtles.",,,d3eed5e549a07ba1db935b151cfd2b612983333a71db60a3cdd649846fd19b91
v4_atomic_shard_0000,airplane,airplane,478c6d52cd0b940bf16d35e28490b320fd71ce6f1d272230018faf39dd1dadd6,88,has a beak,A,A,Qwen2.5-72B-Instruct,0,1,False,"Airplanes do not have beaks, and this feature is not something people would spontaneously mention about airplanes.",,,49a3eb1821df454d98de2aff35f5ce454b70d89eec97c47192dde0af51181aa3
